# 1 represents the best performance, 0 represents not the best performance. 

instance,sms,nsga,mole
Bi-Objective BBOB_2_3_7,1,0,0
Bi-Objective BBOB_2_3_8,1,0,0
Bi-Objective BBOB_2_3_9,1,0,0
Bi-Objective BBOB_2_30_1,1,0,0
Bi-Objective BBOB_2_30_10,0,1,1
Bi-Objective BBOB_2_30_2,1,1,0
Bi-Objective BBOB_2_30_3,1,0,0
Bi-Objective BBOB_2_30_4,1,0,0
Bi-Objective BBOB_2_30_5,1,0,1
Bi-Objective BBOB_2_30_6,1,0,0
Bi-Objective BBOB_2_30_7,1,0,0
Bi-Objective BBOB_2_30_8,1,1,1
Bi-Objective BBOB_2_30_9,1,1,0
Bi-Objective BBOB_2_31_1,1,1,0
Bi-Objective BBOB_2_31_10,1,1,0
Bi-Objective BBOB_2_31_2,1,1,0
Bi-Objective BBOB_2_31_3,1,1,0
Bi-Objective BBOB_2_31_4,1,1,0
Bi-Objective BBOB_2_31_5,0,1,0
Bi-Objective BBOB_2_31_6,1,1,0
Bi-Objective BBOB_2_31_7,1,1,0
Bi-Objective BBOB_2_31_8,1,1,0
Bi-Objective BBOB_2_31_9,1,1,0
Bi-Objective BBOB_2_32_1,1,1,0
Bi-Objective BBOB_2_32_10,1,1,0
Bi-Objective BBOB_2_32_2,0,1,0
Bi-Objective BBOB_2_32_3,1,1,0
Bi-Objective BBOB_2_32_4,1,1,0
Bi-Objective BBOB_2_32_5,1,0,0
Bi-Objective BBOB_2_32_6,1,1,0
Bi-Objective BBOB_2_32_7,1,0,0
Bi-Objective BBOB_2_32_8,0,1,0
Bi-Objective BBOB_2_32_9,1,0,0
Bi-Objective BBOB_2_33_1,1,0,0
Bi-Objective BBOB_2_33_10,0,1,0
Bi-Objective BBOB_2_33_2,1,1,0
Bi-Objective BBOB_2_33_3,1,1,0
Bi-Objective BBOB_2_33_4,1,1,0
Bi-Objective BBOB_2_33_5,1,1,0
Bi-Objective BBOB_2_33_6,1,1,0
Bi-Objective BBOB_2_33_7,1,1,0
Bi-Objective BBOB_2_33_8,1,1,0
Bi-Objective BBOB_2_33_9,1,1,0
Bi-Objective BBOB_2_34_1,1,1,0
Bi-Objective BBOB_2_34_10,1,1,0
Bi-Objective BBOB_2_34_2,1,1,0
Bi-Objective BBOB_2_34_3,1,1,0
Bi-Objective BBOB_2_34_4,0,1,0
Bi-Objective BBOB_2_34_5,1,1,0
Bi-Objective BBOB_2_34_6,1,1,0
Bi-Objective BBOB_2_34_7,1,0,0
Bi-Objective BBOB_2_34_8,1,0,0
Bi-Objective BBOB_2_34_9,1,0,0
Bi-Objective BBOB_2_35_1,1,1,0
Bi-Objective BBOB_2_35_10,1,1,0
Bi-Objective BBOB_2_35_2,1,0,0
Bi-Objective BBOB_2_35_3,1,1,0
Bi-Objective BBOB_2_35_4,0,1,0
Bi-Objective BBOB_2_35_5,1,0,0
Bi-Objective BBOB_2_35_6,0,1,0
Bi-Objective BBOB_2_35_7,1,1,0
Bi-Objective BBOB_2_35_8,1,1,0
Bi-Objective BBOB_2_35_9,0,1,0
Bi-Objective BBOB_2_36_1,0,1,0
Bi-Objective BBOB_2_36_10,1,1,0
Bi-Objective BBOB_2_36_2,1,1,0
Bi-Objective BBOB_2_36_3,1,1,0
Bi-Objective BBOB_2_36_4,1,0,0
Bi-Objective BBOB_2_36_5,1,0,0
Bi-Objective BBOB_2_36_6,0,1,0
Bi-Objective BBOB_2_36_7,1,1,0
Bi-Objective BBOB_2_36_8,1,0,0
Bi-Objective BBOB_2_36_9,1,1,0
Bi-Objective BBOB_2_37_1,0,1,0
Bi-Objective BBOB_2_37_10,1,1,0
Bi-Objective BBOB_2_37_2,0,1,0
Bi-Objective BBOB_2_37_3,1,1,0
Bi-Objective BBOB_2_37_4,1,1,0
Bi-Objective BBOB_2_37_5,1,1,0
Bi-Objective BBOB_2_37_6,0,1,0
Bi-Objective BBOB_2_37_7,0,1,0
Bi-Objective BBOB_2_37_8,1,1,0
Bi-Objective BBOB_2_37_9,1,1,0
Bi-Objective BBOB_2_38_1,0,1,0
Bi-Objective BBOB_2_38_10,1,1,0
Bi-Objective BBOB_2_38_2,1,1,0
Bi-Objective BBOB_2_38_3,1,1,0
Bi-Objective BBOB_2_38_4,1,1,0
Bi-Objective BBOB_2_38_5,1,0,0
Bi-Objective BBOB_2_38_6,1,1,0
Bi-Objective BBOB_2_38_7,1,1,0
Bi-Objective BBOB_2_38_8,0,1,0
Bi-Objective BBOB_2_38_9,1,0,0
Bi-Objective BBOB_2_39_1,0,1,0
