instance,best_hv,sms_mean,mole_mean,nsga_mean,sms_normalize,nsga_normalize,mole_normalize
Bi-Objective BBOB_2_22_8,0.906996576,0.90356228,0.596232613,0.90329669,0.996213551,0.995920728,0.657370302
Bi-Objective BBOB_2_22_9,0.968992795,0.960728554,0.732306809,0.96371019,0.991471308,0.994548355,0.755740201
Bi-Objective BBOB_2_23_1,0.992534054,0.992480703,0.992476107,0.99199408,0.999946248,0.999455964,0.999941617
Bi-Objective BBOB_2_23_10,0.965992185,0.965861436,0.965839194,0.965770544,0.999864648,0.999770556,0.999841623
Bi-Objective BBOB_2_23_2,0.996445293,0.996429579,0.996394854,0.996418797,0.99998423,0.99997341,0.999949381
Bi-Objective BBOB_2_23_3,0.928112249,0.908026528,0.907645116,0.907678631,0.978358522,0.977983678,0.977947567
Bi-Objective BBOB_2_23_4,0.965419265,0.948241681,0.945766764,0.947766126,0.982207125,0.981714536,0.979643559
Bi-Objective BBOB_2_23_5,0.738909733,0.737944457,0.737369317,0.737892232,0.998693649,0.99862297,0.997915286
Bi-Objective BBOB_2_23_6,0.897625,0.897385838,0.896170914,0.897229592,0.999733561,0.999559495,0.998380074
Bi-Objective BBOB_2_23_7,0.91173242,0.911598913,0.911019438,0.910909955,0.999853567,0.999097909,0.999217992
Bi-Objective BBOB_2_23_8,0.980413764,0.969782795,0.969699429,0.969392623,0.989156651,0.988758684,0.989071619
Bi-Objective BBOB_2_23_9,0.965467066,0.960470008,0.960369518,0.960061105,0.994824206,0.994400678,0.994720122
Bi-Objective BBOB_2_24_1,0.886263608,0.883846462,0.187766319,0.884849939,0.997272655,0.998404912,0.211862833
Bi-Objective BBOB_2_24_10,0.929447946,0.922410615,0.121007023,0.922910215,0.992428483,0.992966006,0.130192362
Bi-Objective BBOB_2_24_2,0.988139648,0.983427836,0.15404438,0.984061123,0.995231633,0.995872522,0.15589333
Bi-Objective BBOB_2_24_3,0.952811649,0.937209836,0.070297528,0.937021686,0.983625501,0.983428033,0.073779039
Bi-Objective BBOB_2_24_4,0.953732581,0.947117316,0.202399029,0.94839791,0.993063815,0.994406534,0.212217799
Bi-Objective BBOB_2_24_5,0.823877137,0.818455535,0.069585097,0.818940875,0.993419404,0.994008497,0.084460527
Bi-Objective BBOB_2_24_6,0.961551593,0.96010457,0.039065419,0.960121771,0.998495117,0.998513005,0.040627481
Bi-Objective BBOB_2_24_7,0.88108772,0.876639762,0.011635554,0.877253325,0.994951742,0.995648112,0.013205897
Bi-Objective BBOB_2_24_8,0.746749823,0.739816861,0.019321179,0.740402473,0.990715817,0.991500031,0.025873697
Bi-Objective BBOB_2_24_9,0.941309282,0.927520652,0.115846557,0.933141149,0.985351648,0.991322583,0.1230696
Bi-Objective BBOB_2_25_1,0.890543039,0.890524639,0.152522742,0.890501792,0.999979339,0.999953683,0.171269366
Bi-Objective BBOB_2_25_10,0.885990744,0.885941746,0.49154706,0.885891961,0.999944697,0.999888505,0.554799318
Bi-Objective BBOB_2_25_2,0.944370927,0.943680108,0.523527075,0.944253656,0.999268488,0.999875821,0.554365939
Bi-Objective BBOB_2_25_3,0.978560043,0.978161677,0.187778575,0.978258801,0.999592906,0.999692157,0.191892747
Bi-Objective BBOB_2_25_4,0.827380671,0.820327228,0.031051459,0.824684381,0.991474973,0.996741174,0.037529834
Bi-Objective BBOB_2_25_5,0.903625215,0.90356812,0.516347808,0.903482664,0.999936816,0.999842245,0.571418105
Bi-Objective BBOB_2_25_6,0.95359793,0.953073651,0.685570445,0.953228336,0.999450209,0.999612422,0.718930299
Bi-Objective BBOB_2_25_7,0.723624129,0.72318134,0.068594864,0.723116197,0.999388096,0.999298072,0.094793501
Bi-Objective BBOB_2_25_8,0.877837312,0.876868077,0.205360629,0.877541966,0.998895883,0.999663553,0.23393928
Bi-Objective BBOB_2_25_9,0.865140328,0.865030348,0.464066554,0.865026372,0.999872876,0.999868281,0.536406106
Bi-Objective BBOB_2_26_1,0.978921983,0.978874171,0.7991206,0.97886539,0.999951158,0.999942188,0.816327158
Bi-Objective BBOB_2_26_10,0.975780733,0.973493279,0.819658762,0.973164504,0.997655771,0.997318835,0.840003019
Bi-Objective BBOB_2_26_2,0.994494714,0.993836388,0.681710128,0.993871757,0.99933803,0.999373594,0.685483913
Bi-Objective BBOB_2_26_3,0.999888276,0.999831797,0.822414723,0.999843709,0.999943515,0.999955428,0.822506617
Bi-Objective BBOB_2_26_4,0.929919263,0.929804953,0.17786065,0.929587085,0.999877076,0.999642789,0.191264615
Bi-Objective BBOB_2_26_5,0.732359031,0.68694847,0.151398732,0.698298449,0.937994128,0.953491962,0.206727474
Bi-Objective BBOB_2_26_6,0.99825927,0.99816602,0.448585095,0.998126012,0.999906587,0.999866509,0.449367322
Bi-Objective BBOB_2_26_7,0.958138169,0.958058425,0.220649064,0.957931274,0.999916772,0.999784066,0.2302894
Bi-Objective BBOB_2_26_8,0.893980111,0.871922363,0.569318612,0.877301749,0.975326354,0.9813437,0.636835882
Bi-Objective BBOB_2_26_9,0.928186502,0.928095912,0.802129785,0.927976896,0.999902401,0.999774176,0.864190314
Bi-Objective BBOB_2_27_1,0.903502361,0.891215452,0.326644482,0.898382207,0.986400801,0.994332994,0.361531409
Bi-Objective BBOB_2_27_10,0.976309655,0.975164141,0.253938756,0.974452234,0.99882669,0.998097509,0.260100629
Bi-Objective BBOB_2_27_2,0.951959021,0.944052252,0.462222437,0.948441527,0.991694212,0.996304994,0.485548671
Bi-Objective BBOB_2_27_3,0.957759418,0.957606916,0.194415046,0.957384334,0.999840772,0.999608373,0.202989438
Bi-Objective BBOB_2_27_4,0.960857863,0.960657147,0.432874569,0.95933601,0.999791108,0.998416152,0.450508432
Bi-Objective BBOB_2_27_5,0.930274907,0.916542043,0.127224251,0.922197409,0.985237844,0.991317085,0.136759844
Bi-Objective BBOB_2_27_6,0.962264097,0.960749168,0.389435721,0.962086786,0.998425662,0.999815735,0.404707732
Bi-Objective BBOB_2_27_7,0.950865324,0.946827126,0.37402013,0.947958565,0.995753134,0.996943039,0.393347113
Bi-Objective BBOB_2_27_8,0.989196267,0.987663463,0.2415272,0.987310238,0.998450455,0.998093373,0.244165094
Bi-Objective BBOB_2_27_9,0.931460126,0.930999285,0.147863587,0.930382766,0.999505249,0.998843364,0.158743872
Bi-Objective BBOB_2_28_1,0.977401999,0.975615839,0.977284507,0.976554472,0.998172544,0.999132878,0.999879792
Bi-Objective BBOB_2_28_10,0.999840937,0.999823711,0.999833388,0.999832531,0.999982771,0.999991593,0.99999245
Bi-Objective BBOB_2_28_2,0.998930208,0.998719493,0.998924928,0.998902391,0.999789059,0.999972153,0.999994715
Bi-Objective BBOB_2_28_3,0.999666285,0.99965199,0.999663728,0.999651392,0.9999857,0.999985102,0.999997442
Bi-Objective BBOB_2_28_4,0.98472152,0.98432715,0.984595229,0.984327,0.999599511,0.999599359,0.999871749
Bi-Objective BBOB_2_28_5,0.999901258,0.999892337,0.999899823,0.999895693,0.999991079,0.999994435,0.999998565
Bi-Objective BBOB_2_28_6,0.999626448,0.999479625,0.999621238,0.999429,0.999853122,0.999802479,0.999994788
Bi-Objective BBOB_2_28_7,0.997315263,0.997057953,0.997303145,0.997098492,0.999741997,0.999782646,0.99998785
Bi-Objective BBOB_2_28_8,0.985044199,0.96604175,0.925349314,0.966068713,0.980709039,0.980736411,0.939398776
Bi-Objective BBOB_2_28_9,0.992233419,0.990023716,0.956737583,0.990015122,0.997773001,0.99776434,0.964226325
Bi-Objective BBOB_2_29_1,0.972457455,0.969612734,0.72525757,0.971151672,0.997074709,0.998657234,0.745798766
Bi-Objective BBOB_2_29_10,0.998399142,0.995601577,0.981837378,0.996878609,0.997197949,0.998477029,0.983411681
Bi-Objective BBOB_2_29_2,0.999165569,0.996422243,0.963002249,0.997953215,0.997254383,0.998786634,0.963806479
Bi-Objective BBOB_2_29_3,0.993280459,0.991114012,0.820040172,0.991005417,0.997818897,0.997709567,0.825587743
Bi-Objective BBOB_2_29_4,0.966909957,0.962494808,0.571042432,0.963763471,0.995433753,0.996745833,0.590584912
Bi-Objective BBOB_2_29_5,0.988529418,0.9850159,0.950185485,0.984992498,0.996445713,0.996422039,0.961211136
Bi-Objective BBOB_2_29_6,0.967561276,0.91330475,0.521889548,0.918855407,0.943924455,0.949661205,0.53938656
Bi-Objective BBOB_2_29_7,0.981144976,0.977146379,0.848286687,0.978687634,0.99592456,0.997495435,0.864588524
Bi-Objective BBOB_2_29_8,0.984747228,0.983666703,0.830087144,0.984232749,0.998902739,0.999477552,0.842944382
Bi-Objective BBOB_2_29_9,0.992967815,0.991317865,0.917667736,0.991549547,0.998338365,0.998571687,0.924166647
Bi-Objective BBOB_2_3_1,0.811764228,0.811532425,0.810333409,0.811324135,0.999714446,0.999457856,0.998237396
Bi-Objective BBOB_2_3_10,0.806842793,0.806554251,0.804431345,0.806139466,0.999642381,0.999128297,0.997011254
Bi-Objective BBOB_2_3_2,0.87071932,0.869207403,0.86995816,0.869357726,0.9982636,0.998436243,0.999125826
Bi-Objective BBOB_2_3_3,0.843027855,0.842363823,0.84130464,0.842249364,0.999212325,0.999076553,0.997955922
Bi-Objective BBOB_2_3_4,0.816337759,0.815957146,0.809176948,0.815238764,0.999533755,0.99865375,0.991228127
Bi-Objective BBOB_2_3_5,0.85401972,0.853543785,0.853165228,0.853377536,0.999442712,0.999248046,0.998999447
Bi-Objective BBOB_2_3_6,0.830343055,0.83005393,0.828991173,0.82979648,0.9996518,0.999341747,0.9983719
Bi-Objective BBOB_2_3_7,0.868151338,0.868006099,0.867809883,0.867617998,0.999832703,0.99938566,0.999606687
Bi-Objective BBOB_2_3_8,0.990911525,0.990878487,0.990652406,0.990853673,0.999966659,0.999941617,0.999738505
Bi-Objective BBOB_2_3_9,0.813085531,0.812925742,0.812319856,0.812585742,0.999803478,0.999385318,0.999058309
